metodo;sampling;eta;max_depth;gamma;colsample_bytree;min_child_weight;subsample;nrounds;MCC;logLoss;AUC;prAUC;Accuracy;Kappa;F1;Sensitivity;Specificity;Pos_Pred_Value;Neg_Pred_Value;Precision;Recall;Detection_Rate;Balanced_Accuracy
xgbTree;rose;0,4;1;0;0,6;1;0,75;50;0,23401543430607011;0,449194234885246;0,716557969577797;0,585154517411198;0,802277894830440;0,227005595404593280;0,883777648019662;0,852910426524271;0,425377291158677340;0,917030119235837;0,279840656160988;0,917030119235837;0,852910426524271;0,751898564288378;0,639143858841474
xgbTree;rose;0,4;1;0;0,6;1;1,00;50;0,23506602931831480;0,450797743999978;0,717013419239986;0,586888276189875;0,801422941186994;0,227779833848279045;0,883148143430685;0,851484320271884;0,428776119940651124;0,917337773787274;0,279922457756166;0,917337773787274;0,851484320271884;0,750641262601880;0,640130220106268
xgbTree;rose;0,4;1;0;0,8;1;0,50;50;0,23358683355123530;0,445480304508608;0,715086221318612;0,583270548925594;0,804464364237241;0,227417020578580126;0,885294445866214;0,856303200976182;0,418593142453163702;0,916401251043973;0,282195428654758;0,916401251043973;0,856303200976182;0,754889221059622;0,637448171714673
xgbTree;rose;0,4;1;0;0,8;1;0,75;50;0,23475084127668416;0,446849936528986;0,717262638172249;0,589500255941601;0,799889418807879;0,227019175322357186;0,882097195207762;0,849288516324585;0,432171796655656970;0,917597725134356;0,278261294352815;0,917597725134356;0,849288516324585;0,748705528051080;0,640730156490121
xgbTree;rose;0,4;1;0;0,8;1;1,00;50;0,23722644430851003;0,451141264173096;0,716127052054966;0,588529852954032;0,801976055608164;0,229863742046455322;0,883479584224268;0,851798214493585;0,431111126120953814;0,917677457962296;0,281336375042052;0,917677457962296;0,851798214493585;0,750917931998093;0,641454670307269
xgbTree;rose;0,3;2;0;0,6;1;0,50;50;0,21535877229832118;0,394581261946722;0,721537796902734;0,595590936390599;0,832621851475701;0,214315801982028931;0,904674643781273;0,901760435861690;0,317960702730815725;0,907861059514010;0,304289110729562;0,907861059514010;0,901760435861690;0,794963387699868;0,609860569296253
xgbTree;rose;0,3;2;0;0,6;1;0,75;50;0,21403226290516283;0,401339921022775;0,720000003343678;0,597842392523865;0,828849753666179;0,213548989491266994;0,902266218060735;0,896397813649351;0,326046204798796813;0,908270952046823;0,297886642726568;0,908270952046823;0,896397813649351;0,790235340843136;0,611222009224074
xgbTree;rose;0,3;2;0;0,6;1;1,00;50;0,21985624396795672;0,403759063712997;0,720460949265107;0,597727937126074;0,825934062987727;0,218819256224521613;0,900206508532112;0,890751990956060;0,343441111508871966;0,909942674457533;0,296705868935996;0,909942674457533;0,890751990956060;0,785258492880105;0,617096551232466
xgbTree;rose;0,3;2;0;0,8;1;0,50;50;0,21654567688637283;0,393573460671784;0,721486829205126;0,599863122907837;0,832696697501386;0,216197541978912777;0,904757847968752;0,901531637586492;0,320302238192694877;0,908071428172207;0,303571358579762;0,908071428172207;0,901531637586492;0,794761447437380;0,610916937889593
xgbTree;rose;0,3;2;0;0,8;1;0,75;50;0,22186124338656776;0,403199482549767;0,722032257536676;0,600509368824329;0,828297008937627;0,221111854033338856;0,901743375187930;0,893917223506583;0,339833796011734690;0,909767334664665;0,301030167052648;0,909767334664665;0,893917223506583;0,788048795584620;0,616875509759159
xgbTree;rose;0,3;2;0;0,8;1;1,00;50;0,21781025494394476;0,401607267052388;0,720822834346656;0,595335151228896;0,827869216155391;0,216894383885383735;0,901509012231412;0,894259087292812;0,333681636733287823;0,909034241946667;0,299642828969853;0,909034241946667;0,894259087292812;0,788349933370950;0,613970362013050
xgbTree;rose;0,4;2;0;0,6;1;0,50;50;0,18082975363271833;0,369191667953467;0,721540023565253;0,601111930253192;0,857509307809598;0,173593584474847878;0,921292518032678;0,946103267177730;0,198037613164832843;0,897794046581980;0,329890016116713;0,897794046581980;0,946103267177730;0,834054327866298;0,572070440171282
xgbTree;rose;0,4;2;0;0,6;1;0,75;50;0,19477409991152622;0,375965411459341;0,722344313212568;0,600859422809213;0,847554439673630;0,191775554897914230;0,914742538276295;0,928252342151166;0,246855700625685293;0,901796268255452;0,316836980450274;0,901796268255452;0,928252342151166;0,818317596579685;0,587554021388426
xgbTree;rose;0,4;2;0;0,6;1;1,00;50;0,19010718277194386;0,377010334276895;0,721348847326876;0,600171411149842;0,848006691347540;0,186243677547112796;0,915112599388953;0,930162310891854;0,236457256846176883;0,900712693378499;0,318222961362441;0,900712693378499;0,930162310891854;0,820001442908957;0,583309783869016
xgbTree;rose;0,4;2;0;0,8;1;0,50;50;0,19075313869531366;0,369585214951882;0,722719904700488;0,602138205116330;0,856026298924711;0,184544551906980769;0,920200984738822;0,942025708010351;0,215860075244341476;0,899494012241549;0,332805712590031;0,899494012241549;0,942025708010351;0,830459891506409;0,578942891627346
xgbTree;rose;0,4;2;0;0,8;1;0,75;50;0,20475741453233823;0,376905604705929;0,721872564907223;0,601886652578761;0,845241274132981;0,203182078818267026;0,913129732852120;0,923004639516063;0,266385682411241165;0,903558203838258;0,318581081197957;0,903558203838258;0,923004639516063;0,813691429823781;0,594695160963652
