result_date;testes;positivos;pos_diaria;pos_acumulada
2020-07-18;294;25;0.08503401360544217;0.1422584012951839
2020-07-19;223;26;0.11659192825112108;0.14217209035799377
2020-07-20;1598;315;0.19712140175219023;0.14346507244669573
2020-07-21;1572;289;0.18384223918575063;0.14437856197110127
2020-07-22;1366;238;0.17423133235724744;0.14495412844036698
2020-07-23;1367;231;0.168983174835406;0.1454089757259371
2020-07-24;1623;362;0.2230437461491066;0.14711538461538462
2020-07-25;291;26;0.08934707903780069;0.14688861609852827
2020-07-26;233;12;0.05150214592274678;0.14658974772739497
2020-07-27;1683;361;0.21449792038027332;0.14809262692808395
2020-07-28;1024;156;0.15234375;0.14814910926288746
2020-07-29;1060;223;0.21037735849056605;0.1489933573101586
2020-07-30;938;151;0.16098081023454158;0.1491355651393087
2020-07-31;2108;501;0.23766603415559773;0.15143451962994445
2020-08-01;135;16;0.11851851851851852;0.15137987012987014
2020-08-02;240;32;0.13333333333333333;0.15132676083970964
2020-08-03;2618;719;0.27463712757830405;0.15516217179517644
2020-08-04;1863;351;0.18840579710144928;0.1558820452617019
2020-08-05;1929;544;0.2820114048729912;0.15864805256815442
2020-08-06;1253;269;0.21468475658419792;0.15943507257748135
2020-08-07;1494;281;0.18808567603748327;0.15990695520841372
2020-08-08;191;24;0.1256544502617801;0.15983498349834985
2020-08-09;138;13;0.09420289855072464;0.1597354950679936
2020-08-10;2339;607;0.25951261222744765;0.16223481157030104
2020-08-11;1738;308;0.17721518987341772;0.162508542290911
2020-08-12;1313;155;0.11805026656511805;0.16190318164848383
2020-08-13;889;126;0.14173228346456693;0.16171891858565307
2020-08-14;2369;625;0.2638243984803715;0.1641454166081496
2020-08-15;375;33;0.088;0.16386004537232288
2020-08-16;308;42;0.13636363636363635;0.16377566778587013
2020-08-17;1916;482;0.25156576200417535;0.16542014958205015
2020-08-18;3883;933;0.24027813546227145;0.16815801371411349
2020-08-19;1979;316;0.1596766043456291;0.1680028109887468
2020-08-20;2258;254;0.112488928255093;0.16686744259770844
2020-08-21;2765;288;0.10415913200723327;0.16533533621984625
